users,dis_thread,dis_thread_internal,dis_thread_external,dis_contribution,dis_contribution_internal,dis_contribution_external
NorahXiong,4,0,4,6,0,6
angry-crab,3,1,3,13,1,12
mertyavuz41,3,0,3,0,0,0
YamatoAndo,2,1,2,16,2,14
takam5f2,1,1,0,4,0,4
hatem-darweesh,3,1,3,7,2,5
plane-li,1,0,1,3,0,3
koraykoca,3,1,3,2,0,2
CagriCatik,1,0,1,2,0,2
mehmetdogru,14,3,13,16,4,12
TomoyukiaW,1,0,1,1,0,1
andrejpadilha2,1,0,1,0,0,0
doganulus,2,0,1,5,0,5
alanmengg,1,0,0,0,0,0
Zeysthingz,2,0,1,5,0,5
bariskapaligoz,1,1,1,2,1,1
QZJGeorge,10,1,10,1,1,0
kielczykowski-rai,1,1,0,0,0,0
MichaelShen97,1,1,0,0,0,0
QipiaoZhou,1,0,1,0,0,0
jihwankimqd,1,1,1,1,0,1
JordanCrawfordx,2,0,2,0,0,0
deansaco,1,0,1,0,0,0
tecena,1,1,0,0,0,0
MrOCW,34,7,29,18,1,17
Kei-OO,1,0,1,0,0,0
EcotronCorp,11,1,9,0,0,0
knzo25,1,0,1,4,1,3
nabetetsu,2,1,2,4,1,3
NilaySener,1,0,1,1,0,1
gayar-helm,1,1,1,3,0,3
twbabyduck,2,0,2,1,0,1
SyahirMuzni,3,0,3,0,0,0
kasper-helm,4,1,2,2,1,1
Light7Rain,1,0,1,0,0,0
youxiho1,2,0,2,1,0,1
kaspermeck-arm,10,2,10,21,1,20
Gian-Alessio,1,1,0,0,0,0
lijiaming5550,1,0,1,0,0,0
HuaweiAlgolux,3,1,3,7,0,7
kaola0504,1,0,1,0,0,0
takeshi-iwanari,2,1,2,3,0,3
Croquembouche,4,2,4,4,1,3
kenichirohatayama,1,1,1,1,0,1
tninja1,1,0,1,0,0,0
jiangguoding,1,0,1,1,0,1
shulanbushangshu,7,2,6,4,1,3
sisaha9,4,0,4,3,0,3
lhakim85,5,1,5,16,3,13
tkm2261,1,0,0,0,0,0
urbansound8K,1,0,1,0,0,0
Torreskai0722,1,0,1,0,0,0
bdcong,2,0,2,1,0,1
fightingnoble,1,0,1,1,0,1
ralwing,1,0,1,2,0,2
lilyrosecarnation,1,0,1,0,0,0
AminoACID123,1,0,1,0,0,0
akorb,2,0,1,0,0,0
gaokao123,4,1,3,7,0,7
osholsonel20,4,0,3,0,0,0
evshary,8,0,8,28,3,25
pjj707278870,2,1,2,0,0,0
enesadastec,3,1,3,1,1,0
Minsu-Kim-KNU,1,1,0,0,0,0
RalphGarson,1,1,1,2,0,2
Mingyu1991,3,0,3,2,0,2
Hyeongseok-Jeon,5,0,5,0,0,0
StepTurtle,6,2,6,3,0,3
hayato-m126,1,0,1,0,0,0
timecrisis5,1,0,1,0,0,0
jfqureshi,1,0,1,0,0,0
rsasaki0109,2,0,2,7,2,5
sfukuta,1,0,1,0,0,0
tleyden,6,1,5,3,1,2
gurselturkeri,7,0,6,1,0,1
ln879044,1,0,1,0,0,0
yukkysaito,8,0,8,38,3,35
kosuke55,2,0,2,9,2,7
ydcttt,1,1,1,0,0,0
sethut1224,1,0,1,0,0,0
PaGu3,1,0,1,1,0,1
tzu-lin-huang-128,1,0,1,0,0,0
cyn-liu,9,0,8,5,0,5
lionator,1,0,0,1,0,1
satoshi-ota,2,0,2,14,2,12
n-patiphon,18,1,14,7,0,7
nainaigetuide,3,0,2,2,0,2
purewater0901,1,0,1,1,0,1
anilbommareddy,5,2,5,5,1,4
malayjerdi,1,0,0,1,0,1
phoenares,2,0,2,1,0,1
g2181053,1,0,1,0,0,0
MarioAlmelaUMH,7,1,6,8,0,8
TZECHIN6,2,0,2,3,0,3
marcusvinicius178,3,1,3,0,0,0
arjunshetty955,2,1,2,1,0,1
ismetatabay,1,0,1,2,1,1
ashkildighin,1,0,0,2,0,2
Ryujiyasu,2,0,2,0,0,0
msanchezvicom,1,0,0,1,1,0
nbehrnbehr,2,0,2,1,0,1
miku54,1,0,0,0,0,0
xia-ya,1,0,0,0,0,0
cjffly,7,1,6,3,0,3
tongyucong,1,0,1,1,0,1
Youneko,1,1,1,1,0,1
donnieliu,2,1,2,2,1,1
patelabhay-12,3,0,3,0,0,0
wangxianggang1997,11,0,7,2,1,1
LiangHuangBC,1,0,1,0,0,0
mariosebasco,1,1,1,1,1,0
HyunkiKim0407,1,0,1,1,0,1
kohei-y1123,1,1,0,0,0,0
pwrcoder1391,1,0,1,0,0,0
KhalilSelyan,3,1,3,4,0,4
nicolasdec,1,0,1,0,0,0
adnanhaf,4,0,3,1,0,1
JianKangEgon,4,1,3,1,0,1
batuhanbeytekin,1,0,1,0,0,0
lianbin,1,1,0,0,0,0
Robotics010,4,1,4,9,1,8
joewong00,2,0,2,2,0,2
AndriiChumak145,2,0,2,2,0,2
HamedMesri-TomTom,1,0,1,0,0,0
peaky-quest,1,0,1,0,0,0
kaancolak,1,1,1,3,0,3
mshah72,3,1,3,2,0,2
lchojnack,1,0,1,0,0,0
ahmeddesokyebrahim,5,1,4,6,1,5
yvzksgl,1,0,1,2,0,2
leeseho,1,0,1,2,0,2
saicsk-deloitte,3,1,3,1,1,0
pradhanshrijal,1,0,1,0,0,0
pukachupenn,1,0,1,0,0,0
Hensbag,13,1,11,3,0,3
YusufDALAK,3,1,3,2,0,2
nitro6206,2,0,2,0,0,0
AviBen96,1,0,1,0,0,0
sykwer,1,0,1,0,0,0
joseph16388,2,0,0,0,0,0
izzetbasli,1,0,1,2,0,2
wutianze,1,0,1,2,0,2
jbyang1,1,1,0,0,0,0
jediofgever,1,0,1,1,0,1
damodarRohit,7,4,5,5,2,3
benrbray,1,1,1,1,1,0
HMX2013,1,0,1,0,0,0
beyzanurkaya,3,1,3,0,0,0
albiim,1,0,1,0,0,0
Kim-mins,5,2,5,6,1,5
yangjiameng,1,0,1,0,0,0
Nick79919030,1,1,1,1,1,0
zhuyingxiang95,4,1,2,5,1,4
zillur-av,20,1,14,21,0,21
Bistuwwh,1,0,1,0,0,0
Narendarselva,2,0,1,0,0,0
mayacarla2070,1,0,1,2,0,2
yaoweixiao-ux,2,0,2,0,0,0
beginningfan,8,2,7,6,2,4
ryanyej,1,0,1,0,0,0
sudhsrik,1,0,1,0,0,0
Tester2009,2,0,1,0,0,0
ddutan2000,1,0,1,0,0,0
davutcanakbas,2,1,2,4,1,3
asa-naki,4,0,4,2,0,2
SakodaShintaro,6,0,6,7,0,7
LIIHWF,1,0,1,0,0,0
screenflip,2,1,1,0,0,0
drwnz,14,2,12,6,0,6
Naophis,2,0,2,1,0,1
justin-ucdavis,1,0,1,0,0,0
goomy241,1,1,1,2,0,2
gauthamnarayan,1,1,1,1,0,1
logihp,1,0,1,0,0,0
lexavtanke,2,0,0,1,0,1
zymgp,1,0,1,1,0,1
vnodpangul,1,0,1,0,0,0
jamestkpoon,1,0,1,0,0,0
KYabuuchi,3,0,3,14,1,13
oosuiw,1,0,1,0,0,0
TakaHoribe,5,0,3,26,1,25
RAAA-Alaguvel-Armstrong,1,0,1,0,0,0
TaikiYamada4,3,1,3,2,0,2
shintaro-mori,3,0,3,3,0,3
chishengshih,17,1,14,4,1,3
porizou,2,0,2,0,0,0
